tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
195,ActionPutInto-key_3-box_4,0.9,ActionOpen-key_3,0.5,ActionNodHead-agent_1,0.1,agent_2-actionopen-box_4
196,ActionMoveToAttention-agent_1,0.9,ActionPointTo-box_4,0.5,ActionRotateTo-key_3,0.1,agent_2-actiongrab-key_3
197,ActionMoveToAttention,0.9,ActionShakeHead,0.5,ActionEat-shelf_4,0.1,agent_2-actionopen-shelf_4
198,ActionGiveTo-chess_3-agent_1,0.9,ActionClose-chess_3,0.5,ActionWaveHand-agent_1,0.1,agent_2-actionfollowpointing-agent_1
199,ActionPutDown-chess_3,0.9,ActionShakeHead-agent_1,0.5,ActionPutInto-chess_3-chess_3,0.1,agent_2-actionmoveto-chess_3
200,ActionClose-table_3,0.9,ActionEat-chess_5,0.5,ActionNodHead-agent_2,0.1,agent_1-actionpointto-box_7
201,ActionClose-box_7,0.9,ActionSpeak-Thank you!,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionpointto-cup_4
202,ActionNodHead-agent_2,0.9,ActionWait,0.5,ActionSmash-cup_4,0.1,"agent_1-actionmoveto-[154.0, -238.0]"
203,ActionSpeak-Hello!,0.9,ActionPutDown-banana_6,0.5,ActionSmash-chess_5,0.1,"agent_1-actionmoveto-[-28.0, 56.0]"
204,ActionEat-table_3,0.9,ActionMoveTo-agent_2,0.5,ActionPutInto-cup_4-box_7,0.1,agent_1-actionpointto-banana_6
205,ActionNodHead-agent_2,0.9,ActionUnlock-box_7-banana_6,0.5,ActionGrab-banana_6,0.1,agent_1-actionrotateto-agent_2
206,ActionNodHead-agent_2,0.9,ActionPutOnto-box_7-cup_4,0.5,ActionShakeHead-agent_2,0.1,"agent_1-actionrotateto-[-56.0, -196.0]"
207,ActionSpeak-Hello!,0.9,ActionMoveTo-agent_2,0.5,ActionWait,0.1,agent_1-actionrotateto-key_3
208,ActionObserveAgent-agent_2,0.9,ActionSpeak-Thank you!,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionmoveto-key_3
209,ActionUnlock-box_5-shelf_4,0.9,ActionPointTo-box_5,0.5,ActionMoveTo-box_5,0.1,agent_1-actiongrab-box_5
210,ActionPutDown-box_5,0.9,ActionMoveToAttention-agent_2,0.5,ActionEat-box_5,0.1,agent_1-actionmoveto-agent_2
211,ActionNodHead-agent_1,0.9,ActionFollowPointing-agent_1,0.5,ActionGrab,0.1,agent_2-actionwait
212,ActionMoveTo-XY,0.9,ActionWaveHand-agent_1,0.5,ActionPutOnto,0.1,agent_2-actionwait
213,ActionPlay-agent_1,0.9,ActionSpeak-Thank you!,0.5,ActionOpen,0.1,agent_2-actionrotateto-agent_1
214,ActionObserveAgent-agent_1,0.9,ActionPutInto,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionnodhead
215,ActionPutOnto,0.9,ActionUnlock,0.5,ActionRotateTo-agent_1,0.1,agent_2-actionwait
216,ActionUnlock,0.9,ActionPerform-drink,0.5,ActionPutInto,0.1,agent_2-actionwavehand
217,ActionObserveAgent-agent_1,0.9,ActionRotateTo-agent_1,0.5,ActionPerform-eat,0.1,"agent_2-actionmoveto-[-14.0, -392.0]"
218,ActionNodHead-agent_2,0.9,ActionPutDown-cup_4,0.5,ActionPlay-banana_6-agent_2,0.1,agent_1-actionmoveto-cup_4
219,ActionPutDown-cup_4,0.9,ActionMoveToAttention-agent_2,0.5,ActionSpeak-Hello!,0.1,agent_1-actiongrab-cup_4
220,ActionOpen-table_3,0.9,ActionPutOnto-cup_4-cup_4,0.5,ActionNodHead-agent_2,0.1,agent_1-actionmoveto-table_3
221,ActionMoveToAttention-agent_2,0.9,ActionSmash-table_3,0.5,ActionWait,0.1,agent_1-actionputonto-cup_4
222,ActionPutDown-box_4,0.9,ActionEat-key_3,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionmoveto-box_4
223,ActionObserveAgent-agent_2,0.9,ActionNodHead-agent_2,0.5,ActionPutDown-key_3,0.1,agent_1-actionopen-box_4
224,ActionShakeHead-agent_2,0.9,ActionSmash-key_3,0.5,ActionClose-key_3,0.1,agent_1-actiongrab-key_3
225,ActionWaveHand-agent_2,0.9,ActionGrab-key_3,0.5,ActionEat-key_3,0.1,"agent_1-actionrotateto-[336.0, -238.0]"
226,ActionFollowPointing-agent_2,0.9,ActionWait,0.5,ActionClose-key_3,0.1,agent_1-actionrotateto-agent_2
227,ActionClose-key_3,0.9,ActionShakeHead-agent_2,0.5,ActionUnlock-box_4-key_3,0.1,agent_1-actionputinto-key_3
228,ActionObserveAgent-agent_2,0.9,ActionRotateTo-box_4,0.5,ActionShakeHead-agent_2,0.1,agent_1-actionspeak-thank you!
229,ActionShakeHead-agent_2,0.9,ActionRotateTo-box_4,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionspeak-hello!
230,ActionSmash-box_4,0.9,ActionPerform-eat,0.5,ActionRotateTo-key_3,0.1,agent_1-actiongrab-key_3
231,ActionMoveToAttention-agent_2,0.9,ActionPointTo-banana_4,0.5,ActionPutOnto-box_6-shelf_5,0.1,agent_1-actionopen-shelf_5
232,ActionMoveTo-agent_2,0.9,ActionPutInto-banana_4-box_6,0.5,ActionShakeHead-agent_2,0.1,agent_1-actiongrab-books_3
233,ActionObserveAgent-agent_2,0.9,ActionWaveHand-agent_2,0.5,ActionSpeak-Hello!,0.1,agent_1-actionwait
234,ActionUnlock-shelf_5-books_3,0.9,ActionMoveToAttention-agent_2,0.5,ActionEat-box_6,0.1,agent_1-actionwait
235,ActionPutDown-books_3,0.9,ActionPointTo-box_6,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionwait
236,ActionNodHead-agent_2,0.9,ActionOpen-shelf_5,0.5,ActionPutDown-books_3,0.1,"agent_1-actionrotateto-[238.0, -70.00000000000011]"
237,ActionObserveAgent-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionSmash-dumbbell_3,0.1,agent_1-actionmoveto-box_4
238,ActionSpeak-Thank you!,0.9,ActionMoveToAttention-agent_2,0.5,ActionWait,0.1,agent_1-actionopen-box_4
239,ActionWaveHand-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actiongrab-dumbbell_3
240,ActionWaveHand-agent_2,0.9,ActionPointTo-dumbbell_5,0.5,ActionClose-dumbbell_3,0.1,agent_1-actionmoveto-dumbbell_5
241,ActionOpen-dumbbell_3,0.9,ActionSpeak-Hello!,0.5,ActionNodHead-agent_2,0.1,agent_1-actiongrab-dumbbell_5
242,ActionRotateTo-timer_6,0.9,ActionPutDown-shelf_4,0.5,ActionPutOnto-books_7-shelf_4,0.1,agent_1-actionmoveto-shelf_4
243,ActionUnlock-timer_3-books_7,0.9,ActionNodHead-agent_2,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionopen-shelf_4
244,ActionFollowPointing-agent_2,0.9,ActionRotateTo-books_7,0.5,ActionEat-key_5,0.1,agent_1-actiongrab-timer_3
245,ActionEat-timer_3,0.9,ActionGrab-timer_3,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionmovetoattention-agent_2
246,ActionPerform-drink,0.9,ActionUnlock-timer_6-timer_6,0.5,ActionRotateTo-agent_2,0.1,agent_1-actionmovetoattention-agent_2
247,ActionNodHead-agent_2,0.9,ActionPutInto-timer_3-shelf_4,0.5,ActionSpeak-Thank you!,0.1,agent_1-actionmoveto-agent_2
248,ActionPutOnto-shelf_4-timer_6,0.9,ActionShakeHead-agent_2,0.5,ActionSpeak-Hello!,0.1,agent_1-actiongiveto-timer_3
249,ActionClose-chess_3,0.9,ActionWait,0.5,ActionSpeak-Thank you!,0.1,agent_1-actionnodhead
250,ActionEat-chess_3,0.9,ActionWaveHand-agent_2,0.5,ActionClose-chess_3,0.1,agent_1-actionnodhead
251,ActionEat-chess_3,0.9,ActionSmash-chess_3,0.5,ActionSpeak-Thank you!,0.1,agent_1-actionnodhead
252,ActionSpeak-Hello!,0.9,ActionMoveToAttention-agent_2,0.5,ActionGiveTo-chess_3-agent_2,0.1,agent_1-actionplay-chess_3
253,ActionMoveToAttention-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionGiveTo-agent_1,0.1,agent_2-actionwait
254,ActionUnlock-table_7-banana_6,0.9,ActionSmash-table_7,0.5,ActionObserveAgent-agent_1,0.1,"agent_2-actionrotateto-[322.0, 560.0]"
255,ActionWaveHand-agent_1,0.9,ActionPlay-agent_1,0.5,ActionNodHead-agent_1,0.1,agent_2-actionfollowpointing-agent_1
256,ActionMoveToAttention-agent_1,0.9,ActionPointTo-chess_3,0.5,ActionOpen-chess_3,0.1,agent_2-actionmoveto-chess_3
257,ActionWaveHand-agent_1,0.9,ActionPerform-eat,0.5,ActionRotateTo-agent_1,0.1,agent_2-actiongrab-chess_3
258,ActionRotateTo-agent_1,0.9,ActionWaveHand-agent_1,0.5,ActionUnlock-chess_3-chess_3,0.1,agent_2-actionmoveto-agent_1
259,ActionMoveToAttention-agent_1,0.9,ActionSmash-chess_3,0.5,ActionSmash-chess_3,0.1,agent_2-actionplay-chess_3
260,ActionClose-key_3,0.9,ActionSpeak-Thank you!,0.5,ActionUnlock-key_3-key_3,0.1,agent_2-actionopen-box_4
261,ActionUnlock-box_4-box_4,0.9,ActionSmash-key_3,0.5,ActionClose-box_4,0.1,agent_2-actiongrab-key_3
262,ActionNodHead-agent_1,0.9,ActionPutInto-key_3-box_4,0.5,ActionFollowPointing-agent_1,0.1,agent_2-actionclose-box_4
263,ActionMoveTo-box_4,0.9,ActionGrab-box_4,0.5,ActionClose-key_3,0.1,agent_2-actionputdown-key_3
264,ActionWait,0.9,ActionPerform-eat,0.5,ActionObserveAgent-agent_2,0.1,agent_1-actionmoveto-shelf_4
265,ActionUnlock-shelf_4-shelf_4,0.9,ActionGrab-box_5,0.5,ActionPutDown-shelf_4,0.1,"agent_1-actionrotateto-[-378.0, -560.0]"
266,ActionPlay-books_8-agent_2,0.9,ActionFollowPointing-agent_2,0.5,ActionSpeak-Thank you!,0.1,"agent_1-actionrotateto-[-223.99999999999994, 336.0]"
267,ActionMoveTo-books_8,0.9,ActionGiveTo-box_7-agent_2,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionopen-shelf_4
268,ActionRotateTo-box_7,0.9,ActionClose-box_5,0.5,ActionPlay-chess_6-agent_2,0.1,"agent_1-actionrotateto-[210.0, -154.0]"
269,ActionWaveHand-agent_2,0.9,ActionEat-shelf_4,0.5,ActionWait,0.1,agent_1-actionmoveto-box_5
270,ActionEat-books_8,0.9,ActionPutInto-box_5-box_5,0.5,ActionRotateTo-timer_3,0.1,agent_1-actionopen-box_5
271,ActionMoveTo-books_8,0.9,ActionMoveToAttention-agent_2,0.5,ActionSmash-shelf_4,0.1,agent_1-actiongrab-timer_3
272,ActionUnlock-box_5-books_8,0.9,ActionPutInto-box_5-books_8,0.5,ActionPutDown-timer_3,0.1,agent_1-actionmoveto-shelf_4
273,ActionMoveToAttention-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionRotateTo-chess_3,0.1,agent_2-actionspeak-thank you!
274,ActionOpen-box_5,0.9,ActionWait,0.5,ActionClose-chess_3,0.1,agent_2-actionmoveto-chess_3
275,ActionOpen-box_5,0.9,ActionPutInto-cup_7-cup_7,0.5,ActionGiveTo-chess_3-agent_1,0.1,agent_2-actionpointto-box_5
276,ActionPerform-drink,0.9,ActionShakeHead-agent_1,0.5,ActionPutDown-cup_7,0.1,agent_2-actionspeak-thank you!
277,ActionGrab-cup_7,0.9,ActionEat-box_5,0.5,ActionGrab-chess_4,0.1,agent_2-actionmoveto-box_5
278,ActionPointTo-chess_4,0.9,ActionOpen-chess_4,0.5,ActionGiveTo-chess_4-agent_1,0.1,agent_2-actionplay-chess_4
279,ActionShakeHead-agent_1,0.9,ActionPerform-eat,0.5,ActionClose-cup_7,0.1,agent_2-actiongrab-chess_4
280,ActionPointTo-agent_1,0.9,ActionPutOnto-dumbbell_6-chess_4,0.5,ActionPutDown-chess_4,0.1,agent_2-actionshakehead
281,ActionPutDown-chess_3,0.9,ActionSmash-cup_7,0.5,ActionMoveTo-box_5,0.1,agent_2-actionrotateto-chess_3
282,ActionSmash-box_5,0.9,ActionPlay-dumbbell_6-agent_1,0.5,ActionFollowPointing-agent_1,0.1,agent_2-actionspeak-thank you!
283,ActionEat,0.9,ActionFollowPointing-agent_1,0.5,ActionNodHead-agent_1,0.1,agent_2-actionspeak-hello!
284,ActionPerform-eat,0.9,ActionRotateTo-shelf_4,0.5,ActionFollowPointing-agent_1,0.1,"agent_2-actionrotateto-[-196.0, -252.0000000000001]"
285,ActionSpeak-Thank you!,0.9,ActionMoveToAttention-agent_1,0.5,ActionUnlock-box_7-box_5,0.1,"agent_2-actionmoveto-[56.0, -238.0]"
286,ActionUnlock-shelf_4-shelf_4,0.9,ActionNodHead-agent_1,0.5,ActionWait,0.1,"agent_2-actionrotateto-[588.0, -97.99999999999989]"
287,ActionPointTo-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionRotateTo-books_8,0.1,"agent_2-actionrotateto-[-490.0, -210.0]"
288,ActionPointTo-chess_6,0.9,ActionFollowPointing-agent_1,0.5,ActionGrab-box_7,0.1,agent_2-actionmoveto-agent_1
289,ActionPutInto-box_7-shelf_4,0.9,ActionPutDown-books_8,0.5,ActionNodHead-agent_1,0.1,"agent_2-actionrotateto-[-448.0, -462.0]"
290,ActionFollowPointing-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionPointTo-box_7,0.1,agent_2-actionmoveto-box_7
291,ActionWait,0.9,ActionGiveTo-box_7-agent_1,0.5,ActionMoveTo-chess_6,0.1,agent_2-actionopen-box_7
292,ActionPutInto-box_7-chess_6,0.9,ActionWaveHand-agent_1,0.5,ActionPerform-drink,0.1,agent_2-actionspeak-thank you!
293,ActionSmash,0.9,ActionEat,0.5,ActionWait,0.1,agent_1-actionnodhead
294,ActionShakeHead-agent_2,0.9,ActionRotateTo-XY,0.5,ActionGiveTo-shelf_4-agent_2,0.1,"agent_1-actionrotateto-[308.0, -182.0]"
295,ActionEat-shelf_4,0.9,ActionSpeak-Thank you!,0.5,ActionFollowPointing-agent_2,0.1,"agent_1-actionrotateto-[-434.0, 336.0]"
296,ActionGrab-shelf_4,0.9,ActionPutInto-shelf_4-key_6,0.5,ActionPlay-shelf_4-agent_2,0.1,agent_1-actionmoveto-shelf_4
297,ActionWait,0.9,ActionPutOnto-box_5-key_6,0.5,ActionMoveTo-shelf_4,0.1,agent_1-actionopen-shelf_4
298,ActionUnlock-key_6-shelf_4,0.9,ActionFollowPointing-agent_2,0.5,ActionMoveTo-agent_2,0.1,agent_1-actiongrab-key_6
299,ActionGrab-key_6,0.9,ActionPointTo-shelf_4,0.5,ActionSmash-key_6,0.1,agent_1-actionmoveto-box_5
300,ActionGiveTo-shelf_4-agent_2,0.9,ActionPutOnto-shelf_4-shelf_4,0.5,ActionWait,0.1,agent_1-actionrotateto-agent_2
301,ActionMoveToAttention-agent_2,0.9,ActionGiveTo-books_3-agent_2,0.5,ActionGrab-shelf_4,0.1,agent_1-actionshakehead
302,ActionPointTo-agent_1,0.9,ActionEat,0.5,ActionPointTo-agent_1,0.1,"agent_2-actionmoveto-[-406.0, -238.0]"
303,ActionObserveAgent-agent_1,0.9,ActionEat,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionwavehand
304,ActionFollowPointing-agent_1,0.9,ActionUnlock,0.5,ActionGrab,0.1,agent_2-actionspeak-hello!
305,ActionSmash,0.9,ActionObserveAgent-agent_1,0.5,ActionPerform-eat,0.1,agent_2-actionspeak-hello!
306,ActionObserveAgent-agent_1,0.9,ActionMoveTo-box_3,0.5,ActionPointTo-box_3,0.1,"agent_2-actionmoveto-[97.99999999999989, -126.0]"
307,ActionMoveToAttention-agent_1,0.9,ActionClose-box_3,0.5,ActionWaveHand-agent_1,0.1,agent_2-actionpointto-agent_1
308,ActionPutDown-key_4,0.9,ActionShakeHead-agent_1,0.5,ActionMoveTo-agent_1,0.1,"agent_2-actionrotateto-[-490.0, -336.0]"
309,ActionSmash-key_4,0.9,ActionGrab-key_4,0.5,ActionClose-key_4,0.1,"agent_2-actionmoveto-[-154.0, 28.0]"
310,ActionRotateTo-key_4,0.9,ActionGiveTo-box_3-agent_1,0.5,ActionMoveTo-key_4,0.1,agent_2-actionmoveto-key_4
311,ActionObserveAgent-agent_2,0.9,ActionSmash-banana_3,0.5,ActionPerform-drink,0.1,agent_1-actionrotateto-agent_2
312,ActionPerform-drink,0.9,ActionObserveAgent-agent_2,0.5,ActionClose-banana_3,0.1,agent_1-actionrotateto-banana_3
313,ActionPointTo-shelf_5,0.9,ActionPlay-shelf_5-agent_1,0.5,ActionOpen-shelf_5,0.1,agent_2-actionspeak-hello!
314,ActionPerform-drink,0.9,ActionPutInto-shelf_5-shelf_5,0.5,ActionClose-shelf_5,0.1,agent_2-actionspeak-thank you!
315,ActionMoveToAttention-agent_1,0.9,ActionPerform-drink,0.5,ActionSpeak-Hello!,0.1,agent_2-actionopen-shelf_7
316,ActionUnlock-shelf_7-box_4,0.9,ActionPerform-eat,0.5,ActionGiveTo-shelf_7-agent_1,0.1,agent_2-actiongrab-key_6
317,ActionPlay-box_9-agent_1,0.9,ActionShakeHead-agent_1,0.5,ActionShakeHead-agent_1,0.1,agent_2-actionmoveto-box_4
318,ActionOpen-box_4,0.9,ActionPerform-drink,0.5,ActionOpen-key_6,0.1,agent_2-actionunlock-box_4
319,ActionRotateTo-box_4,0.9,ActionClose-key_6,0.5,ActionPerform-drink,0.1,agent_2-actionopen-box_4
320,ActionGrab-box_9,0.9,ActionWait,0.5,ActionSmash-key_6,0.1,agent_2-actionmoveto-box_8
321,ActionFollowPointing,0.9,ActionRotateTo-XY,0.5,ActionMoveToAttention,0.1,agent_1-actionspeak-hello!
322,ActionObserveAgent-agent_2,0.9,ActionPerform-drink,0.5,ActionMoveTo-box_3,0.1,"agent_1-actionrotateto-[392.0, -126.0]"
323,ActionRotateTo-agent_2,0.9,ActionMoveToAttention-agent_2,0.5,ActionShakeHead-agent_2,0.1,agent_1-actionpointto-box_3
324,ActionMoveToAttention-agent_2,0.9,ActionObserveAgent-agent_2,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionpointto-box_3
325,ActionMoveToAttention-agent_2,0.9,ActionPutOnto-box_3-box_3,0.5,ActionPerform-eat,0.1,agent_1-actionrotateto-box_3
326,ActionWaveHand-agent_2,0.9,ActionWaveHand-agent_2,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionpointto-box_3
327,ActionShakeHead-agent_2,0.9,ActionWaveHand-agent_2,0.5,ActionRotateTo-XY,0.1,agent_1-actionpointto-box_3
328,ActionSmash-box_3,0.9,ActionMoveToAttention-agent_2,0.5,ActionGrab-box_3,0.1,"agent_1-actionrotateto-[322.0, -294.0]"
329,ActionWaveHand-agent_2,0.9,ActionEat-box_3,0.5,ActionPlay-box_3-agent_2,0.1,agent_1-actionrotateto-box_3
330,ActionClose-box_3,0.9,ActionWaveHand-agent_2,0.5,ActionRotateTo-agent_2,0.1,agent_1-actionpointto-box_3
331,ActionSmash-key_5,0.9,ActionPutInto-box_4-box_4,0.5,ActionMoveTo-XY,0.1,agent_1-actionpointto-banana_6
332,ActionPointTo-banana_6,0.9,ActionWaveHand-agent_2,0.5,ActionRotateTo-agent_2,0.1,agent_1-actionpointto-banana_6
333,ActionClose-banana_6,0.9,ActionPutDown-banana_6,0.5,ActionWaveHand-agent_2,0.1,agent_1-actionmoveto-banana_6
334,ActionSpeak-Thank you!,0.9,ActionPlay-banana_6-agent_2,0.5,ActionClose-banana_6,0.1,agent_1-actionpointto-banana_6
335,ActionSpeak-Hello!,0.9,ActionPutInto-banana_6-banana_6,0.5,ActionPutOnto-banana_6-banana_6,0.1,agent_1-actionpointto-banana_6
336,ActionMoveToAttention-agent_2,0.9,ActionClose-banana_6,0.5,ActionPlay-banana_6-agent_2,0.1,agent_1-actionpointto-banana_6
337,ActionPutDown-key_5,0.9,ActionPutOnto-banana_6-banana_6,0.5,ActionPointTo-banana_6,0.1,agent_1-actionpointto-banana_6
338,ActionPointTo-books_3,0.9,ActionPutInto-box_4-banana_6,0.5,ActionGiveTo-box_4-agent_2,0.1,agent_1-actiongrab-banana_6
339,ActionRotateTo-banana_6,0.9,ActionOpen-key_5,0.5,ActionPointTo-box_4,0.1,agent_1-actionrotateto-agent_2
340,ActionPointTo-books_3,0.9,ActionEat-banana_6,0.5,ActionPlay-banana_6-agent_2,0.1,agent_1-actionpointto-banana_6
341,ActionObserveAgent-agent_1,0.9,ActionRotateTo-banana_7,0.5,ActionSpeak-Hello!,0.1,agent_2-actionspeak-hello!
342,ActionFollowPointing-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionEat-table_4,0.1,agent_2-actionwait
343,ActionPutOnto-key_6-table_4,0.9,ActionSpeak-Thank you!,0.5,ActionMoveTo-key_6,0.1,agent_2-actionspeak-hello!
344,ActionMoveTo-key_6,0.9,ActionWaveHand-agent_1,0.5,ActionMoveToAttention-agent_1,0.1,agent_2-actionwavehand
345,ActionMoveToAttention-agent_1,0.9,ActionPutInto-key_6-box_5,0.5,ActionUnlock-table_4-banana_7,0.1,agent_2-actionrotateto-box_5
346,ActionWaveHand-agent_1,0.9,ActionNodHead-agent_1,0.5,ActionSmash-banana_7,0.1,agent_2-actionnodhead
347,ActionPutOnto-box_5-key_6,0.9,ActionPerform-eat,0.5,ActionUnlock-box_5-books_3,0.1,agent_2-actionshakehead
348,ActionSpeak-Hello!,0.9,ActionPerform-drink,0.5,ActionPutDown-banana_7,0.1,agent_2-actionperform-eat
349,ActionSmash-books_3,0.9,ActionShakeHead-agent_1,0.5,ActionWait,0.1,agent_2-actionspeak-thank you!
350,ActionFollowPointing,0.9,ActionFollowPointing,0.5,ActionWaveHand,0.1,agent_2-actionperform-eat
351,ActionPutInto-banana_3-chess_6,0.9,ActionMoveTo-banana_3,0.5,ActionGiveTo-banana_3-agent_1,0.1,"agent_2-actionrotateto-[-210.00000000000006, 168.0]"
352,ActionOpen-box_4,0.9,ActionObserveAgent,0.5,ActionSpeak-Hello!,0.1,agent_1-actionopen-box_4
353,ActionPointTo-banana_3,0.9,ActionUnlock-box_4-banana_3,0.5,ActionPutDown-banana_3,0.1,agent_1-actiongrab-banana_3
354,ActionUnlock-key_5-box_4,0.9,ActionObserveAgent-agent_2,0.5,ActionClose-key_5,0.1,agent_1-actionrotateto-box_4
355,ActionClose-chess_3,0.9,ActionSpeak-Hello!,0.5,ActionNodHead-agent_2,0.1,agent_1-actionrotateto-agent_2
356,ActionPerform-eat,0.9,ActionWait,0.5,ActionPerform-drink,0.1,agent_1-actionperform-eat
357,ActionPointTo-box_4,0.9,ActionGrab-key_5,0.5,ActionSmash-box_6,0.1,agent_1-actionshakehead
358,ActionGiveTo-key_5-agent_2,0.9,ActionGrab-chess_3,0.5,ActionGrab-key_5,0.1,agent_1-actionshakehead
359,ActionFollowPointing-agent_2,0.9,ActionRotateTo-box_6,0.5,ActionSmash-box_6,0.1,agent_1-actionshakehead
360,ActionNodHead-agent_2,0.9,ActionSmash-key_5,0.5,ActionUnlock-key_5-chess_3,0.1,agent_1-actionshakehead
361,ActionMoveToAttention-agent_2,0.9,ActionPerform-drink,0.5,ActionMoveTo-box_4,0.1,agent_1-actionwait
362,ActionObserveAgent-agent_2,0.9,ActionGiveTo-box_4-agent_2,0.5,ActionClose-box_6,0.1,agent_1-actionrotateto-box_4
363,ActionMoveToAttention,0.9,ActionPointTo,0.5,ActionClose,0.1,agent_1-actionmoveto-key_5
364,ActionClose-books_6,0.9,ActionWait,0.5,ActionNodHead-agent_2,0.1,agent_1-actiongrab-key_5
365,ActionGrab-key_5,0.9,ActionPutInto-shelf_8-key_5,0.5,ActionOpen-key_5,0.1,agent_1-actionmoveto-box_7
366,ActionMoveTo-box_7,0.9,ActionPlay-shelf_8-agent_2,0.5,ActionPointTo-box_4,0.1,agent_1-actionmoveto-shelf_8
367,ActionWaveHand-agent_2,0.9,ActionOpen-key_5,0.5,ActionRotateTo-box_4,0.1,agent_1-actionopen-shelf_8
368,ActionFollowPointing-agent_2,0.9,ActionRotateTo-banana_3,0.5,ActionUnlock-key_5-key_5,0.1,agent_1-actionmoveto-box_4
369,ActionPointTo-key_5,0.9,ActionOpen-shelf_8,0.5,ActionPointTo-key_5,0.1,agent_1-actionunlock-box_4
370,ActionPutDown-box_4,0.9,ActionPerform-drink,0.5,ActionFollowPointing-agent_2,0.1,agent_1-actionopen-box_4
371,ActionShakeHead-agent_1,0.9,ActionSpeak-Hello!,0.5,ActionEat-cup_8,0.1,agent_2-actionmoveto-key_6
372,ActionWaveHand-agent_1,0.9,ActionSpeak-Thank you!,0.5,ActionPutOnto-chess_3-chess_3,0.1,agent_2-actiongrab-box_5
373,ActionPointTo-agent_1,0.9,ActionClose-key_6,0.5,ActionRotateTo-agent_1,0.1,agent_2-actionmoveto-agent_1
374,ActionEat-table_4,0.9,ActionGiveTo-table_4-agent_1,0.5,ActionMoveTo-chess_3,0.1,agent_2-actionmoveto-table_4
375,ActionEat-chess_3,0.9,ActionUnlock-box_5-key_6,0.5,ActionGiveTo-key_6-agent_1,0.1,agent_2-actionputonto-chess_3
376,ActionRotateTo-box_4,0.9,ActionPutInto-box_4-box_4,0.5,ActionPointTo-books_3,0.1,agent_2-actionwavehand
377,ActionPointTo-box_4,0.9,ActionEat-box_4,0.5,ActionShakeHead-agent_1,0.1,agent_2-actionspeak-hello!
378,ActionSpeak-Thank you!,0.9,ActionPutDown-books_3,0.5,ActionPutInto-timer_6-box_4,0.1,agent_2-actionspeak-hello!
379,ActionPutInto-box_4-box_4,0.9,ActionWait,0.5,ActionGrab-box_4,0.1,agent_2-actionmoveto-timer_6
380,ActionShakeHead-agent_1,0.9,ActionClose-box_4,0.5,ActionEat-books_3,0.1,agent_2-actionwait
381,ActionShakeHead-agent_1,0.9,ActionGrab-timer_6,0.5,ActionShakeHead-agent_1,0.1,agent_2-actionspeak-hello!
382,ActionGrab-box_4,0.9,ActionShakeHead-agent_1,0.5,ActionUnlock-books_3-timer_6,0.1,agent_2-actiongrab-timer_6
383,ActionWait,0.9,ActionSpeak-Hello!,0.5,ActionMoveTo-box_4,0.1,agent_2-actionspeak-hello!
384,ActionWaveHand-agent_1,0.9,ActionMoveToAttention-agent_1,0.5,ActionPerform-drink,0.1,agent_2-actionmoveto-books_3
385,ActionShakeHead,0.9,ActionPutDown-books_6,0.5,ActionGrab-books_6,0.1,agent_2-actiongrab-books_6
386,ActionOpen-box_7,0.9,ActionGiveTo-books_6-agent_1,0.5,ActionFollowPointing-agent_1,0.1,agent_2-actionmoveto-box_7
387,ActionWait,0.9,ActionWait,0.5,ActionPutOnto-books_6-key_5,0.1,agent_2-actionopen-box_7
388,ActionGiveTo-books_6-agent_1,0.9,ActionPointTo-agent_1,0.5,ActionSpeak-Hello!,0.1,agent_2-actionputinto-books_6
389,ActionRotateTo-box_7,0.9,ActionGiveTo-key_5-agent_1,0.5,ActionSmash-box_7,0.1,agent_2-actionclose-box_7
390,ActionMoveToAttention-agent_1,0.9,ActionFollowPointing-agent_1,0.5,ActionClose-banana_3,0.1,agent_2-actionmoveto-agent_1
391,ActionEat-shelf_8,0.9,ActionGrab-books_6,0.5,ActionWait,0.1,agent_2-actionmoveto-shelf_8
392,ActionOpen-table_4,0.9,ActionObserveAgent,0.5,ActionUnlock-books_7-books_7,0.1,agent_1-actionmovetoattention-agent_2
